ID,PredictedProb
0,0.50159737
1,0.830531915
2,0.793822415
7,0.66239213
10,0.708251205
11,0.548343668
13,0.876924844
14,0.521549372
15,0.842047228
16,0.851354838
17,0.708046152
18,0.815927717
19,0.794959633
20,0.850444528
25,0.831823177
26,0.729947518
29,0.84317178
38,0.882196061
41,0.892867071
44,0.632750989
45,0.344909141
47,0.828626611
48,0.677142974
49,0.853045363
50,0.87420372
53,0.542850966
56,0.571068503
59,0.828611818
60,0.68321471
64,0.82766551
65,0.949344648
66,0.786843298
68,0.847173469
69,0.64434327
70,0.869421794
71,0.809009523
72,0.694234317
76,0.815932018
80,0.795613436
82,0.806553908
83,0.921900648
85,0.861343196
86,0.872232899
87,0.805776773
89,0.785800956
97,0.806171478
99,0.685782527
101,0.703856543
102,0.48335602
103,0.605858046
104,0.660747594
106,0.864664246
107,0.649598648
109,0.83546196
111,0.551454085
113,0.782531199
114,0.556075315
118,0.811675982
119,0.670567274
120,0.853369009
123,0.66553037
128,0.263585441
129,0.819613777
131,0.919672633
133,0.780482002
134,0.790391512
136,0.877256926
137,0.826021603
139,0.691525289
140,0.8072321
142,0.801238918
144,0.792585857
146,0.879159485
147,0.790651346
148,0.867738002
150,0.400626399
151,0.20223784
152,0.935342528
155,0.916916211
158,0.86762695
159,0.674060426
160,0.93983069
161,0.690545816
165,0.918045273
166,0.61299646
170,0.923277415
171,0.688177371
174,0.733385296
175,0.848286401
179,0.743291569
180,0.77974972
181,0.804751507
184,0.804362122
185,0.591498864
187,0.830167843
188,0.788678824
190,0.743675815
191,0.676037805
192,0.653365973
193,0.819044925
196,0.833057757
197,0.622760522
198,0.683398517
205,0.190573308
211,0.858804843
213,0.825852525
214,0.83911944
217,0.668054355
218,0.815895386
221,0.808340759
222,0.675443781
225,0.827141198
229,0.729325461
236,0.657874876
237,0.860522679
238,0.823590477
239,0.929567609
242,0.653033171
245,0.861931612
246,0.82494392
247,0.859328563
248,0.940409566
254,0.869324957
255,0.643053318
257,0.932753199
259,0.6820287
264,0.878215131
270,0.721607465
272,0.796622724
274,0.588429514
275,0.57938156
278,0.836308801
280,0.302550349
281,0.303029987
282,0.277527696
283,0.861010219
284,0.9474656
286,0.88084299
287,0.87924966
288,0.884181098
289,0.845882669
290,0.623269739
291,0.83032867
294,0.634830004
295,0.488257879
297,0.575745526
299,0.747716469
305,0.790533812
307,0.560519275
308,0.739957636
313,0.68025393
314,0.796626135
315,0.819109853
316,0.87939444
317,0.838029052
319,0.554527306
322,0.823805881
323,0.876999733
324,0.766164113
326,0.856811637
327,0.665953886
329,0.959719159
330,0.163734227
331,0.49731393
336,0.502218056
337,0.503089768
338,0.83123384
340,0.926160305
345,0.545794283
347,0.843512209
348,0.828322288
350,0.940375412
352,0.703433569
356,0.8927239
357,0.88508231
358,0.935042752
359,0.821619799
361,0.838117254
363,0.538693747
364,0.758467972
368,0.843193317
376,0.937854613
378,0.81472252
382,0.838357743
384,0.640003423
385,0.937550612
388,0.339954028
389,0.93191724
391,0.726273117
392,0.703933329
395,0.800294141
396,0.857846099
397,0.807602571
399,0.720173978
404,0.947829371
407,0.467671057
409,0.833560917
410,0.705470137
413,0.762999651
414,0.68587567
416,0.803259285
418,0.781158787
419,0.831153227
420,0.912577794
422,0.933274544
423,0.752554514
427,0.687466035
429,0.94757981
430,0.579476196
431,0.749693588
432,0.675839278
433,0.879675806
434,0.178848631
436,0.663790916
437,0.836405741
451,0.687688799
452,0.801319516
454,0.740906995
457,0.862522597
458,0.823272438
460,0.634979917
461,0.88670486
462,0.742693446
463,0.839089619
465,0.912749828
467,0.832219238
473,0.847841754
474,0.858996812
480,0.18241605
481,0.705637814
483,0.84961727
484,0.667941544
485,0.58668913
487,0.876570858
490,0.893463451
491,0.814444114
492,0.583727646
496,0.851215499
497,0.710194174
498,0.604941277
499,0.759592059
501,0.794786649
502,0.869315385
503,0.827134838
506,0.891257677
507,0.671197306
508,0.611741592
509,0.699090815
510,0.784015188
511,0.755968637
513,0.713569991
515,0.872568632
521,0.583970327
522,0.850802677
523,0.851348467
525,0.78729625
529,0.844000575
530,0.614025199
531,0.691219679
533,0.745474187
534,0.707423035
535,0.899024694
537,0.636861359
541,0.673508487
542,0.699875393
543,0.682214974
544,0.835090586
545,0.659319616
549,0.921475167
550,0.87025538
551,0.806054235
553,0.670897938
556,0.876971822
558,0.597593029
560,0.702463963
563,0.62697737
564,0.933283
567,0.479846623
572,0.610762374
573,0.928662275
577,0.828959898
583,0.847793449
584,0.707853475
585,0.802251627
586,0.77595486
588,0.784304058
590,0.694438829
591,0.806267828
593,0.880436622
594,0.698549562
597,0.860096389
598,0.666588501
599,0.860831387
603,0.79278162
604,0.707509002
606,0.92980167
607,0.710650994
609,0.68103462
614,0.873920448
615,0.881257427
616,0.514694946
617,0.857371992
618,0.857211931
619,0.84335788
620,0.886913293
623,0.68137762
625,0.859456603
626,0.81326414
627,0.858662966
632,0.874643707
633,0.61398811
634,0.860968613
635,0.694452251
