id,relevance
1,2.123103577
4,2.232438573
5,2.410321887
6,2.483779866
7,2.348322902
8,2.384277627
10,2.556781064
11,2.273078012
12,2.04813901
13,2.765908234
14,2.562932665
15,2.414874906
19,2.498940119
22,2.342395294
24,2.589474686
25,2.19338881
26,2.063708917
28,2.636255497
29,2.443870149
30,2.441700821
31,2.764036171
32,2.572773867
33,2.397514184
36,2.39911487
39,2.194383325
40,2.533351746
41,2.268549113
42,2.434375231
43,2.451221286
44,2.304768953
45,2.627497056
46,2.562651295
47,2.360478833
49,2.584680131
50,2.582081314
52,2.208800047
53,2.173212684
54,2.163583607
55,2.547530584
56,2.489832262
57,2.110350275
58,2.531026389
59,2.674352047
60,2.060916439
61,2.508018918
62,2.503900862
63,2.29706044
64,2.435135518
66,2.399633893
67,2.310364694
68,2.163658908
70,2.17782541
71,2.358896777
72,2.023697989
73,2.149110246
74,2.248301808
76,2.168524463
77,2.269028832
78,2.062081418
79,1.99672492
80,2.209254891
82,2.405454837
83,2.343352305
84,2.125543145
86,2.399782434
87,2.708828551
89,2.2119571
91,2.114448398
93,2.103475205
94,2.184676808
95,2.121945986
96,1.904968592
97,2.259953425
98,2.668049654
99,2.174837281
100,2.764099312
102,2.351435831
103,2.180586412
104,2.234869499
107,2.215822675
108,2.204242446
109,2.255737526
110,2.171071689
111,2.216861886
112,2.289478003
115,2.170492819
116,2.372154393
118,2.536159307
119,2.414977701
121,2.414094655
124,2.63270587
126,2.543565132
128,2.383489134
129,2.699877571
130,2.497942063
131,2.314639582
132,2.30135311
133,2.607660316
134,2.083096875
135,2.213562642
137,2.379335058
139,2.383408001
140,2.151764447
141,2.391059689
142,2.161435278
144,2.715136594
145,2.750855186
146,2.311118505
148,1.856567588
151,2.333454729
152,2.315846953
153,2.386024894
154,2.085718458
155,2.118740615
156,2.040735696
159,2.142781483
160,2.206070323
161,2.268002077
163,2.688376516
167,2.680536837
168,2.506391893
169,2.079607966
170,2.558918832
171,2.694490783
173,2.418765866
174,2.234420157
175,2.268341565
176,2.293048265
180,2.336401502
183,2.294454688
184,2.393381095
185,2.383679053
187,2.342960483
188,2.026345163
189,1.992517102
190,2.269375453
192,2.315026965
194,2.561459053
196,2.026733744
197,2.196555934
198,2.372883242
199,2.03605016
